seed-> 4833
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./train_resized_clean/', input_name='lr_2_cubic.jpg', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=4833, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=3, nc_z=3, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='89_noisy.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/lr_2_cubic/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=1, sr_factor=2.0, stride=1, train_on_last_scale=0, training_name='', tx='11:49:36')
alpha:20
scale 4:[300/1000], errG: -0.763690 ,output.mean(): 0.763690, rec_loss:0.011797
scale 4:[325/1000], errG: -0.751431 ,output.mean(): 0.751431, rec_loss:0.017086
scale 4:[350/1000], errG: -0.792320 ,output.mean(): 0.792320, rec_loss:0.011519
scale 4:[375/1000], errG: -0.755086 ,output.mean(): 0.755086, rec_loss:0.007203
scale 4:[400/1000], errG: -0.788309 ,output.mean(): 0.788309, rec_loss:0.010346
scale 4:[425/1000], errG: -0.917753 ,output.mean(): 0.917753, rec_loss:0.022548
scale 4:[450/1000], errG: -0.816742 ,output.mean(): 0.816742, rec_loss:0.007804
scale 4:[475/1000], errG: -0.925162 ,output.mean(): 0.925162, rec_loss:0.012793
scale 4:[500/1000], errG: -0.833083 ,output.mean(): 0.833083, rec_loss:0.007135
scale 4:[525/1000], errG: -0.831500 ,output.mean(): 0.831500, rec_loss:0.005835
scale 4:[550/1000], errG: -0.866507 ,output.mean(): 0.866507, rec_loss:0.007859
scale 4:[575/1000], errG: -0.838289 ,output.mean(): 0.838289, rec_loss:0.007670
scale 4:[600/1000], errG: -0.854374 ,output.mean(): 0.854374, rec_loss:0.004088
scale 4:[625/1000], errG: -0.869256 ,output.mean(): 0.869256, rec_loss:0.004661
scale 4:[650/1000], errG: -0.802895 ,output.mean(): 0.802895, rec_loss:0.004981
scale 4:[675/1000], errG: -0.849359 ,output.mean(): 0.849359, rec_loss:0.007154
scale 4:[700/1000], errG: -0.921934 ,output.mean(): 0.921934, rec_loss:0.005272
scale 4:[725/1000], errG: -0.885475 ,output.mean(): 0.885475, rec_loss:0.004560
scale 4:[750/1000], errG: -0.880320 ,output.mean(): 0.880320, rec_loss:0.003664
scale 4:[775/1000], errG: -0.861951 ,output.mean(): 0.861951, rec_loss:0.005460
scale 4:[800/1000], errG: -0.932192 ,output.mean(): 0.932192, rec_loss:0.004353
scale 4:[825/1000], errG: -0.847116 ,output.mean(): 0.847116, rec_loss:0.007324
scale 4:[850/1000], errG: -0.899480 ,output.mean(): 0.899480, rec_loss:0.004695
scale 4:[875/1000], errG: -0.901612 ,output.mean(): 0.901612, rec_loss:0.006151
scale 4:[900/1000], errG: -0.925928 ,output.mean(): 0.925928, rec_loss:0.003484
scale 4:[925/1000], errG: -0.828531 ,output.mean(): 0.828531, rec_loss:0.003326
scale 4:[950/1000], errG: -0.895587 ,output.mean(): 0.895587, rec_loss:0.004248
scale 4:[975/1000], errG: -0.877466 ,output.mean(): 0.877466, rec_loss:0.003165
scale 4:[999/1000], errG: -0.883646 ,output.mean(): 0.883646, rec_loss:0.002800
Scale: 4, realD_loss: 0.098569 
alpha:20
scale 5:[0/1000], errG: -0.879830 ,output.mean(): 0.879830, rec_loss:0.063825
scale 5:[25/1000], errG: -1.048651 ,output.mean(): 1.048651, rec_loss:0.025193
scale 5:[50/1000], errG: -1.098641 ,output.mean(): 1.098641, rec_loss:0.021628
scale 5:[75/1000], errG: -1.091492 ,output.mean(): 1.091492, rec_loss:0.015054
scale 5:[100/1000], errG: -1.014436 ,output.mean(): 1.014436, rec_loss:0.011705
scale 5:[125/1000], errG: -1.099495 ,output.mean(): 1.099495, rec_loss:0.010228
scale 5:[150/1000], errG: -0.947804 ,output.mean(): 0.947804, rec_loss:0.008134
scale 5:[175/1000], errG: -1.025776 ,output.mean(): 1.025776, rec_loss:0.008398
scale 5:[200/1000], errG: -1.185667 ,output.mean(): 1.185667, rec_loss:0.010075
scale 5:[225/1000], errG: -1.060063 ,output.mean(): 1.060063, rec_loss:0.007523
scale 5:[250/1000], errG: -1.048542 ,output.mean(): 1.048542, rec_loss:0.006781
scale 5:[275/1000], errG: -1.021510 ,output.mean(): 1.021510, rec_loss:0.006350
scale 5:[300/1000], errG: -1.057584 ,output.mean(): 1.057584, rec_loss:0.009844
scale 5:[325/1000], errG: -1.259892 ,output.mean(): 1.259892, rec_loss:0.017856
scale 5:[350/1000], errG: -1.130060 ,output.mean(): 1.130060, rec_loss:0.005852
scale 5:[375/1000], errG: -1.102365 ,output.mean(): 1.102365, rec_loss:0.006245
scale 5:[400/1000], errG: -1.077019 ,output.mean(): 1.077019, rec_loss:0.003462
scale 5:[425/1000], errG: -1.112204 ,output.mean(): 1.112204, rec_loss:0.004217
scale 5:[450/1000], errG: -1.064637 ,output.mean(): 1.064637, rec_loss:0.003135
scale 5:[475/1000], errG: -1.074427 ,output.mean(): 1.074427, rec_loss:0.002757
scale 5:[500/1000], errG: -1.060312 ,output.mean(): 1.060312, rec_loss:0.003181
scale 5:[525/1000], errG: -1.111553 ,output.mean(): 1.111553, rec_loss:0.002673
scale 5:[550/1000], errG: -1.034470 ,output.mean(): 1.034470, rec_loss:0.002322
scale 5:[575/1000], errG: -1.002904 ,output.mean(): 1.002904, rec_loss:0.002698
scale 5:[600/1000], errG: -1.033457 ,output.mean(): 1.033457, rec_loss:0.002550
scale 5:[625/1000], errG: -1.113986 ,output.mean(): 1.113986, rec_loss:0.003026
scale 5:[650/1000], errG: -1.039558 ,output.mean(): 1.039558, rec_loss:0.002252
scale 5:[675/1000], errG: -1.078677 ,output.mean(): 1.078677, rec_loss:0.002551
scale 5:[700/1000], errG: -1.070723 ,output.mean(): 1.070723, rec_loss:0.002447
scale 5:[725/1000], errG: -1.032862 ,output.mean(): 1.032862, rec_loss:0.002747
scale 5:[750/1000], errG: -1.009344 ,output.mean(): 1.009344, rec_loss:0.002017
scale 5:[775/1000], errG: -1.004923 ,output.mean(): 1.004923, rec_loss:0.002046
scale 5:[800/1000], errG: -1.029498 ,output.mean(): 1.029498, rec_loss:0.002024
scale 5:[825/1000], errG: -1.025352 ,output.mean(): 1.025352, rec_loss:0.002250
scale 5:[850/1000], errG: -1.021973 ,output.mean(): 1.021973, rec_loss:0.001777
scale 5:[875/1000], errG: -1.002877 ,output.mean(): 1.002877, rec_loss:0.001812
scale 5:[900/1000], errG: -1.040455 ,output.mean(): 1.040455, rec_loss:0.001922
scale 5:[925/1000], errG: -1.079576 ,output.mean(): 1.079576, rec_loss:0.002143
scale 5:[950/1000], errG: -1.093005 ,output.mean(): 1.093005, rec_loss:0.002050
scale 5:[975/1000], errG: -0.989430 ,output.mean(): 0.989430, rec_loss:0.001683
scale 5:[999/1000], errG: -1.017263 ,output.mean(): 1.017263, rec_loss:0.001663
Scale: 5, realD_loss: 0.374521 
alpha:20
scale 6:[0/1000], errG: -0.899548 ,output.mean(): 0.899548, rec_loss:0.078902
scale 6:[25/1000], errG: -0.721117 ,output.mean(): 0.721117, rec_loss:0.019098
scale 6:[50/1000], errG: -0.729161 ,output.mean(): 0.729161, rec_loss:0.013773
scale 6:[75/1000], errG: -0.654374 ,output.mean(): 0.654374, rec_loss:0.011471
scale 6:[100/1000], errG: -0.756889 ,output.mean(): 0.756889, rec_loss:0.012594
scale 6:[125/1000], errG: -0.686962 ,output.mean(): 0.686962, rec_loss:0.012001
scale 6:[150/1000], errG: -0.695631 ,output.mean(): 0.695631, rec_loss:0.009665
scale 6:[175/1000], errG: -0.741101 ,output.mean(): 0.741101, rec_loss:0.012582
scale 6:[200/1000], errG: -0.743287 ,output.mean(): 0.743287, rec_loss:0.008918
scale 6:[225/1000], errG: -0.742612 ,output.mean(): 0.742612, rec_loss:0.007949
scale 6:[250/1000], errG: -0.737226 ,output.mean(): 0.737226, rec_loss:0.007081
scale 6:[275/1000], errG: -0.686749 ,output.mean(): 0.686749, rec_loss:0.006437
scale 6:[300/1000], errG: -0.679808 ,output.mean(): 0.679808, rec_loss:0.005535
scale 6:[325/1000], errG: -0.729632 ,output.mean(): 0.729632, rec_loss:0.006258
scale 6:[350/1000], errG: -0.739757 ,output.mean(): 0.739757, rec_loss:0.004862
scale 6:[375/1000], errG: -0.766376 ,output.mean(): 0.766376, rec_loss:0.004982
scale 6:[400/1000], errG: -0.726795 ,output.mean(): 0.726795, rec_loss:0.004529
scale 6:[425/1000], errG: -0.758249 ,output.mean(): 0.758249, rec_loss:0.004510
