seed-> 9607
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/different_examples', input_name='input_lr.jpg', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=9607, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=3, nc_z=3, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='3_noisy.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/input_lr/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=0, sr_factor=2.0, stride=1, train_on_last_scale=0, training_name='', tx='21:59:15')
alpha:20
scale 3:[0/1000], errG: -3.632713 ,output.mean(): 3.632713, rec_loss:0.405903
scale 3:[25/1000], errG: -3.714244 ,output.mean(): 3.714244, rec_loss:0.051322
scale 3:[50/1000], errG: -3.807520 ,output.mean(): 3.807520, rec_loss:0.035368
scale 3:[75/1000], errG: -3.876835 ,output.mean(): 3.876835, rec_loss:0.024435
scale 3:[100/1000], errG: -4.406489 ,output.mean(): 4.406489, rec_loss:0.023550
scale 3:[125/1000], errG: -4.204154 ,output.mean(): 4.204154, rec_loss:0.014410
scale 3:[150/1000], errG: -4.081555 ,output.mean(): 4.081555, rec_loss:0.012642
scale 3:[175/1000], errG: -4.078890 ,output.mean(): 4.078890, rec_loss:0.011149
scale 3:[200/1000], errG: -4.050317 ,output.mean(): 4.050317, rec_loss:0.010520
scale 3:[225/1000], errG: -3.903747 ,output.mean(): 3.903747, rec_loss:0.008870
scale 3:[250/1000], errG: -3.862091 ,output.mean(): 3.862091, rec_loss:0.008841
scale 3:[275/1000], errG: -3.857252 ,output.mean(): 3.857252, rec_loss:0.008033
scale 3:[300/1000], errG: -3.732847 ,output.mean(): 3.732847, rec_loss:0.006986
scale 3:[325/1000], errG: -3.683797 ,output.mean(): 3.683797, rec_loss:0.006827
scale 3:[350/1000], errG: -3.692898 ,output.mean(): 3.692898, rec_loss:0.006843
scale 3:[375/1000], errG: -3.696369 ,output.mean(): 3.696369, rec_loss:0.006654
scale 3:[400/1000], errG: -3.583405 ,output.mean(): 3.583405, rec_loss:0.006270
scale 3:[425/1000], errG: -3.655764 ,output.mean(): 3.655764, rec_loss:0.006676
scale 3:[450/1000], errG: -3.679803 ,output.mean(): 3.679803, rec_loss:0.005832
scale 3:[475/1000], errG: -3.664372 ,output.mean(): 3.664372, rec_loss:0.006295
scale 3:[500/1000], errG: -3.745611 ,output.mean(): 3.745611, rec_loss:0.006391
scale 3:[525/1000], errG: -3.743758 ,output.mean(): 3.743758, rec_loss:0.007161
scale 3:[550/1000], errG: -3.604530 ,output.mean(): 3.604530, rec_loss:0.005779
scale 3:[575/1000], errG: -3.607266 ,output.mean(): 3.607266, rec_loss:0.006021
scale 3:[600/1000], errG: -3.778749 ,output.mean(): 3.778749, rec_loss:0.005882
scale 3:[625/1000], errG: -3.744693 ,output.mean(): 3.744693, rec_loss:0.005673
scale 3:[650/1000], errG: -3.723290 ,output.mean(): 3.723290, rec_loss:0.005828
scale 3:[675/1000], errG: -3.677231 ,output.mean(): 3.677231, rec_loss:0.005633
scale 3:[700/1000], errG: -3.774401 ,output.mean(): 3.774401, rec_loss:0.005589
scale 3:[725/1000], errG: -3.810952 ,output.mean(): 3.810952, rec_loss:0.005558
scale 3:[750/1000], errG: -3.848918 ,output.mean(): 3.848918, rec_loss:0.005499
scale 3:[775/1000], errG: -3.810801 ,output.mean(): 3.810801, rec_loss:0.005682
scale 3:[800/1000], errG: -3.666541 ,output.mean(): 3.666541, rec_loss:0.005192
scale 3:[825/1000], errG: -3.714424 ,output.mean(): 3.714424, rec_loss:0.005551
scale 3:[850/1000], errG: -3.698082 ,output.mean(): 3.698082, rec_loss:0.004972
scale 3:[875/1000], errG: -3.775141 ,output.mean(): 3.775141, rec_loss:0.004882
scale 3:[900/1000], errG: -3.688693 ,output.mean(): 3.688693, rec_loss:0.005341
scale 3:[925/1000], errG: -3.881793 ,output.mean(): 3.881793, rec_loss:0.005422
scale 3:[950/1000], errG: -3.819939 ,output.mean(): 3.819939, rec_loss:0.005400
scale 3:[975/1000], errG: -3.824199 ,output.mean(): 3.824199, rec_loss:0.005022
scale 3:[999/1000], errG: -3.972542 ,output.mean(): 3.972542, rec_loss:0.005090
Scale: 3, realD_loss: 0.000000 
alpha:20
