seed-> 3415
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/customSR', input_name='11.png', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=3415, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=1, nc_z=1, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='24.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/11/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=1, sr_factor=2.0, stride=1, threshold=256, train_on_last_scale=0, training_name='', tx='17:42:48')
alpha:20
scale 2:[725/1000], errG: -1.135551 , errGfrozen : 0.060969, rec_loss:0.009135
scale 2:[750/1000], errG: -1.105195 , errGfrozen : 0.063063, rec_loss:0.008850
scale 2:[775/1000], errG: -1.095107 , errGfrozen : 0.063510, rec_loss:0.008444
scale 2:[800/1000], errG: -1.140340 , errGfrozen : 0.061155, rec_loss:0.015486
scale 2:[825/1000], errG: -1.064817 , errGfrozen : 0.060569, rec_loss:0.013214
scale 2:[850/1000], errG: -1.066051 , errGfrozen : 0.064780, rec_loss:0.028612
scale 2:[875/1000], errG: -1.005367 , errGfrozen : 0.059943, rec_loss:0.008955
scale 2:[900/1000], errG: -0.964252 , errGfrozen : 0.062862, rec_loss:0.009083
scale 2:[925/1000], errG: -1.034772 , errGfrozen : 0.060293, rec_loss:0.007702
scale 2:[950/1000], errG: -0.979060 , errGfrozen : 0.063134, rec_loss:0.016304
scale 2:[975/1000], errG: -1.072196 , errGfrozen : 0.063599, rec_loss:0.009707
scale 2:[999/1000], errG: -0.992502 , errGfrozen : 0.062543, rec_loss:0.009077
Scale: 2, realD_loss: 0.728571 
alpha:20
scale 3:[0/1000], errG: -0.844186 , errGfrozen : 0.011514, rec_loss:0.234903
scale 3:[25/1000], errG: -1.034341 , errGfrozen : 0.015726, rec_loss:0.044095
scale 3:[50/1000], errG: -0.927246 , errGfrozen : 0.017877, rec_loss:0.030518
scale 3:[75/1000], errG: -0.840926 , errGfrozen : 0.015602, rec_loss:0.019639
scale 3:[100/1000], errG: -0.883996 , errGfrozen : 0.016365, rec_loss:0.015107
scale 3:[125/1000], errG: -0.809362 , errGfrozen : 0.015992, rec_loss:0.010277
scale 3:[150/1000], errG: -0.826182 , errGfrozen : 0.019505, rec_loss:0.008195
scale 3:[175/1000], errG: -0.896528 , errGfrozen : 0.017911, rec_loss:0.005970
scale 3:[200/1000], errG: -0.934071 , errGfrozen : 0.017711, rec_loss:0.006738
scale 3:[225/1000], errG: -0.931616 , errGfrozen : 0.019622, rec_loss:0.010362
scale 3:[250/1000], errG: -1.038676 , errGfrozen : 0.019126, rec_loss:0.006907
scale 3:[275/1000], errG: -1.394208 , errGfrozen : 0.017942, rec_loss:0.008613
scale 3:[300/1000], errG: -1.541414 , errGfrozen : 0.020791, rec_loss:0.008203
scale 3:[325/1000], errG: -1.764354 , errGfrozen : 0.019282, rec_loss:0.009899
scale 3:[350/1000], errG: -1.761535 , errGfrozen : 0.020191, rec_loss:0.006504
scale 3:[375/1000], errG: -1.859894 , errGfrozen : 0.021799, rec_loss:0.009092
scale 3:[400/1000], errG: -1.940092 , errGfrozen : 0.021899, rec_loss:0.006090
scale 3:[425/1000], errG: -2.071476 , errGfrozen : 0.020430, rec_loss:0.004948
scale 3:[450/1000], errG: -2.137481 , errGfrozen : 0.022394, rec_loss:0.008566
scale 3:[475/1000], errG: -2.307693 , errGfrozen : 0.021115, rec_loss:0.007445
scale 3:[500/1000], errG: -2.381176 , errGfrozen : 0.022324, rec_loss:0.006106
scale 3:[525/1000], errG: -2.462749 , errGfrozen : 0.021317, rec_loss:0.005749
scale 3:[550/1000], errG: -2.495322 , errGfrozen : 0.020297, rec_loss:0.006365
scale 3:[575/1000], errG: -2.516767 , errGfrozen : 0.023274, rec_loss:0.008569
scale 3:[600/1000], errG: -2.534030 , errGfrozen : 0.023115, rec_loss:0.008380
scale 3:[625/1000], errG: -2.544294 , errGfrozen : 0.021563, rec_loss:0.006267
scale 3:[650/1000], errG: -2.546766 , errGfrozen : 0.021340, rec_loss:0.005939
scale 3:[675/1000], errG: -2.514488 , errGfrozen : 0.021045, rec_loss:0.008660
scale 3:[700/1000], errG: -2.527572 , errGfrozen : 0.023385, rec_loss:0.009223
scale 3:[725/1000], errG: -2.545354 , errGfrozen : 0.020827, rec_loss:0.006503
scale 3:[750/1000], errG: -2.560955 , errGfrozen : 0.021100, rec_loss:0.006541
scale 3:[775/1000], errG: -2.581187 , errGfrozen : 0.022187, rec_loss:0.007962
scale 3:[800/1000], errG: -2.652331 , errGfrozen : 0.021196, rec_loss:0.006873
scale 3:[825/1000], errG: -2.699605 , errGfrozen : 0.022105, rec_loss:0.007851
scale 3:[850/1000], errG: -2.757095 , errGfrozen : 0.023739, rec_loss:0.009814
scale 3:[875/1000], errG: -2.726828 , errGfrozen : 0.021811, rec_loss:0.006864
scale 3:[900/1000], errG: -2.771245 , errGfrozen : 0.021700, rec_loss:0.007035
scale 3:[925/1000], errG: -2.843320 , errGfrozen : 0.022273, rec_loss:0.007273
scale 3:[950/1000], errG: -2.857919 , errGfrozen : 0.021098, rec_loss:0.008272
scale 3:[975/1000], errG: -2.908340 , errGfrozen : 0.022072, rec_loss:0.006809
scale 3:[999/1000], errG: -2.926446 , errGfrozen : 0.023490, rec_loss:0.009229
Scale: 3, realD_loss: 0.040377 
alpha:20
